ticker
BRK-B
LLY
JPM
XOM
V
ORCL
JNJ
MA
CAT
ABBV
BAC
CVX
KO
UNH
PG
GE
HSBC
MS
BABA
HD
MRK
GS
AZN
GEV
NVS
PM
RY
TM
RTX
WFC
SHEL
IBM
BHP
MUFG
C
AXP
SAP
VZ
ANET
TTE
MCD
DELL
NVO
TD
NEE
SAN
DIS
TJX
RIO
T
BA
APH
GLW
BLK
TMO
UNP
BUD
SCCO
UBS
ETN
SCHW
WELL
ABT
PFE
CRM
SMFG
BX
DE
UBER
COP
BTI
PLD
SONY
BBVA
HDB
CB
PBR
ENB
VRT
UL
LMT
DHR
SPGI
MO
SYK
NEM
LOW
BMY
COF
CVS
PGR
BMO
MFG
PWR
BP
ACN
PH
SPOT
CM
SO
HWM
GSK
NOW
BN
TT
MDT
BNS
CNQ
DUK
BNY
FDX
EQNR
IBN
WMB
GD
FCX
CMI
NOK
MCK
AEM
ING
PNC
KKR
ITUB
NGG
HCA
BE
AMT
SLB
UPS
WM
BSX
ASX
USB
JCI
CIEN
ICE
ELV
BCS
EPD
MMM
LYG
CP
NOC
EMR
MCO
E
SPG
AMX
BAM
MRSH
SU
CVNA
NET
SHW
COHR
APO
CI
HLT
KMI
EOG
TRP
MPC
CL
ITW
GM
NSC
RCL
VLO
ECL
CNI
B
VALE
PSX
DLR
TDG
AON
CRH
MSI
ET
NKE
FIX
TRV
MFC
NWG
APD
IMO
DB
RSG
NU
STM
SNOW
F
TEL
KEYS
TFC
URI
SRE
AFL
D
WPM
GWW
LHX
O
RELX
RACE
TRGP
MPLX
OXY
OKE
TGT
VST
ALL
NUE
SE
CARR
CVE
MET
PSA
CTVA
COR
UMC
AME
AJG
DVN
DAL
MT
ETR
AZO
ABEV
ROK
HPE
EW
TAK
AU
LNG
INFY
DEO
CCJ
CAH
GRMN
WAB
FNV
FERG
IX
STT
HEI
VTR
MSCI
CLS
YUM
FMX
CMG
DHI
XYZ
ARES
BDX
AMP
AIG
HLN
BSBR
SLF
TEVA
JBL
PEG
KR
ED
RKT
CCI
VIK
WCN
HSY
LYV
PUK
EME
IRM
CBRE
ADM
KB
BBD
HIG
CCL
UI
GFI
