Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
37,HBB,https://www.tradingview.com/symbols/HBB/,True,True,STRONG UPTREND,8,20.72,23.83,15.75,-13.1,1.05,25.7,1.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",280667520,-8.6,100.0,4.7,10.0,12.9,,7.0,4,2.6,4.4
38,ASPN,https://www.tradingview.com/symbols/ASPN/,True,True,STRONG UPTREND,8,5.24,6.7,2.3,-21.7,0.67,146.7,2.9,Industrials,Building Products & Equipment,434277856,-51.9,,-48.6,,-50.2,,5.1,2,1.7,4.3
39,NMT,https://www.tradingview.com/symbols/NMT/,True,True,STRONG UPTREND,8,12.7,13.57,11.11,-6.4,0.81,33.4,1.0,Financial Services,Asset Management,130211736,1.5,20.1,-6.0,,,,1.2,4,2.0,4.3
40,ESP,https://www.tradingview.com/symbols/ESP/,True,False,UPTREND,6,61.5,74.45,46.75,-17.4,1.15,41.6,1.0,Industrials,Electrical Equipment & Parts,184249200,10.9,57.1,25.5,16.1,16.6,,0.3,7,2.9,4.3
41,MDV,https://www.tradingview.com/symbols/MDV/,True,True,STRONG UPTREND,8,17.53,18.72,13.47,-6.4,0.88,60.8,1.2,Real Estate,REIT - Industrial,180973936,-1.1,,0.3,,134.8,,1.6,3,2.2,4.1
42,AOMR,https://www.tradingview.com/symbols/AOMR/,True,False,UPTREND,6,8.94,9.15,7.66,-2.3,0.62,9.2,1.0,Real Estate,REIT - Mortgage,222736944,,,45.7,14.2,6.4,1.67,2.6,7,1.6,4.1
43,QUAD,https://www.tradingview.com/symbols/QUAD/,True,True,STRONG UPTREND,8,8.25,8.72,5.74,-5.4,0.65,64.3,1.3,Industrials,Specialty Business Services,425366080,-7.7,18.2,1.2,14.2,6.0,,8.5,3,1.6,4.1
44,FVR,https://www.tradingview.com/symbols/FVR/,True,False,UPTREND,6,20.97,21.41,14.64,-2.1,1.44,54.5,1.1,Real Estate,REIT - Diversified,489769344,10.7,,-3.9,,472.9,1.58,15.7,5,3.6,4.1
45,STRW,https://www.tradingview.com/symbols/STRW/,True,False,UPTREND,6,13.7,13.91,11.5,-1.5,0.98,11.8,1.0,Real Estate,REIT - Healthcare Facilities,183944560,7.1,31.6,5.2,21.4,17.0,,4.2,6,2.5,4.0
46,AFB,https://www.tradingview.com/symbols/AFB/,True,False,UPTREND,6,11.29,11.48,10.25,-1.7,0.92,13.0,1.0,Financial Services,Asset Management,324530336,7.0,,82.2,14.1,,,1.7,6,2.3,4.0
47,RLTY,https://www.tradingview.com/symbols/RLTY/,True,False,UPTREND,6,15.83,16.07,13.74,-1.5,1.31,19.7,1.0,Financial Services,Asset Management,264715680,,,,14.7,,,0.3,5,3.3,4.0
48,HPS,https://www.tradingview.com/symbols/HPS/,True,False,UPTREND,6,14.53,14.73,13.49,-1.3,1.04,6.5,1.0,Financial Services,Asset Management,467413536,1.1,-5.1,73.6,12.4,,,2.3,5,2.6,3.9
49,EOD,https://www.tradingview.com/symbols/EOD/,True,False,UPTREND,6,6.56,6.65,5.39,-1.4,1.14,31.3,1.0,Financial Services,Asset Management,282512384,,,,3.7,,,0.5,5,2.8,3.9
