Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
437,WOR,https://www.tradingview.com/symbols/WOR/,True,False,UPTREND,6,58.42,61.95,44.87,-5.7,0.76,15.6,1.0,Industrials,Metal Fabrication,2858748416,16.9,1134.1,11.3,18.6,14.1,,2.6,7,1.9,4.1
438,Q,https://www.tradingview.com/symbols/Q/,True,False,UPTREND,6,138.0,177.28,97.52,-22.2,1.06,61.6,1.2,Technology,Semiconductor Equipment & Materials,28870778880,22.1,-34.3,11.2,49.3,25.7,1.38,1.9,6,2.7,4.1
439,A,https://www.tradingview.com/symbols/A/,True,False,UPTREND,6,145.97,146.15,108.14,-0.1,0.63,37.2,1.0,Healthcare,Diagnostics & Research,41226588160,10.0,60.0,19.6,29.3,22.1,1.62,3.3,7,1.6,4.1
440,MAS,https://www.tradingview.com/symbols/MAS/,True,True,STRONG UPTREND,8,77.51,83.64,57.88,-7.3,0.96,37.3,1.0,Industrials,Building Products & Equipment,15283997696,-2.9,24.5,11.6,17.9,16.6,2.45,3.7,3,2.4,4.1
441,KRC,https://www.tradingview.com/symbols/KRC/,True,True,STRONG UPTREND,8,37.97,40.85,26.89,-7.1,0.71,77.8,1.6,Real Estate,REIT - Office,4459293696,-6.0,-70.2,15.5,26.6,71.0,2.76,6.5,2,1.8,4.0
442,GDDY,https://www.tradingview.com/symbols/GDDY/,True,False,UPTREND,6,91.07,106.0,71.59,-14.1,0.96,5.3,1.0,Technology,Software - Infrastructure,11533806592,6.6,29.8,17.8,13.5,8.3,2.24,2.7,6,2.4,4.0
443,SPNT,https://www.tradingview.com/symbols/SPNT/,True,True,STRONG UPTREND,8,23.03,26.48,19.32,-13.0,0.61,37.1,1.0,Financial Services,Insurance - Reinsurance,2675280384,-0.5,16.0,16.8,5.7,8.3,2.0,4.6,3,1.5,4.0
444,HOG,https://www.tradingview.com/symbols/HOG/,True,True,STRONG UPTREND,8,26.01,28.77,16.96,-9.6,0.73,81.9,1.6,Consumer Cyclical,Recreational Vehicles,2706925824,-5.9,-14.8,4.8,14.5,13.1,2.5,5.9,2,1.8,4.0
445,BURL,https://www.tradingview.com/symbols/BURL/,True,False,UPTREND,6,368.96,378.33,280.0,-2.5,0.72,26.4,1.0,Consumer Cyclical,Apparel Retail,23223156736,14.1,13.3,5.2,38.0,26.7,1.79,4.1,6,1.8,3.9
446,SHG,https://www.tradingview.com/symbols/SHG/,True,False,UPTREND,6,75.81,77.47,58.45,-2.1,0.78,17.6,1.0,Financial Services,Banks - Regional,35696226304,14.1,22.1,32.5,10.6,8.1,,1.7,6,2.0,3.9
447,VTR,https://www.tradingview.com/symbols/VTR/,True,False,UPTREND,6,93.36,101.6,77.63,-8.1,0.77,23.2,1.0,Real Estate,REIT - Healthcare Facilities,47888674816,21.7,-6.7,4.1,169.7,114.3,1.61,5.9,6,1.9,3.9
448,HR,https://www.tradingview.com/symbols/HR/,True,True,STRONG UPTREND,8,19.97,22.04,16.27,-9.4,0.97,47.1,1.0,Real Estate,REIT - Healthcare Facilities,6929545728,-4.3,,-7.6,,998.5,2.54,4.8,2,2.4,3.9
449,IQV,https://www.tradingview.com/symbols/IQV/,True,False,UPTREND,6,238.7,251.36,154.5,-5.0,0.83,55.4,1.1,Healthcare,Diagnostics & Research,39290019840,8.7,-0.6,8.1,29.7,16.5,1.38,3.4,5,2.1,3.8
450,EG,https://www.tradingview.com/symbols/EG/,True,True,STRONG UPTREND,8,374.96,401.07,311.4,-6.5,0.79,30.3,1.0,Financial Services,Insurance - Reinsurance,14376991744,-11.3,-11.5,11.4,7.9,6.2,2.44,3.7,2,2.0,3.8
451,F,https://www.tradingview.com/symbols/F/,True,True,STRONG UPTREND,8,13.98,17.78,10.97,-21.4,0.7,38.0,1.0,Consumer Cyclical,Auto Manufacturers,55746588672,-3.8,,-3.9,,7.3,2.5,,2,1.8,3.8
452,WSM,https://www.tradingview.com/symbols/WSM/,True,False,UPTREND,6,251.78,252.99,164.96,-0.5,0.93,44.5,1.0,Consumer Cyclical,Specialty Retail,29646241792,4.4,4.3,13.8,28.3,24.5,2.22,5.0,5,2.3,3.8
453,MOH,https://www.tradingview.com/symbols/MOH/,True,True,STRONG UPTREND,8,196.45,244.89,121.06,-19.8,0.51,112.5,2.2,Healthcare,Healthcare Plans,10254690304,-5.7,-75.3,-0.0,1309.7,20.2,2.74,3.1,1,1.3,3.8
454,BIRK,https://www.tradingview.com/symbols/BIRK/,True,False,UPTREND,6,38.45,50.73,31.12,-24.2,0.7,28.9,1.0,Consumer Cyclical,Footwear & Accessories,7071187456,7.7,-20.4,16.3,17.4,13.8,1.64,5.7,5,1.8,3.7
455,KGS,https://www.tradingview.com/symbols/KGS/,True,False,UPTREND,6,59.9,77.68,48.62,-22.9,0.8,50.7,1.0,Energy,Oil & Gas Equipment & Services,6045043200,4.9,-39.4,5.1,78.8,19.4,1.33,3.6,5,2.0,3.7
456,L,https://www.tradingview.com/symbols/L/,True,False,UPTREND,6,115.53,121.01,102.17,-4.5,0.73,12.3,1.0,Financial Services,Insurance - Property & Casualty,23617533952,3.9,15.6,9.0,14.2,39.8,,4.8,5,1.8,3.7
457,APD,https://www.tradingview.com/symbols/APD/,True,False,UPTREND,6,303.44,314.87,264.8,-3.6,0.72,11.1,1.0,Basic Materials,Specialty Chemicals,67571699712,4.6,,-0.4,,21.0,1.81,2.6,5,1.8,3.7
458,EW,https://www.tradingview.com/symbols/EW/,True,False,UPTREND,6,89.72,96.29,74.66,-6.8,0.66,22.8,1.0,Healthcare,Medical Devices,51714609152,13.6,-25.4,15.4,53.4,26.6,1.64,2.3,5,1.7,3.7
459,CTVA,https://www.tradingview.com/symbols/CTVA/,True,False,UPTREND,6,76.83,90.97,71.51,-15.5,1.47,15.8,1.0,Basic Materials,Agricultural Inputs,51260674048,-1.2,-9.9,5.7,46.6,18.6,1.76,4.2,3,3.7,3.7
460,MICC,https://www.tradingview.com/symbols/MICC/,True,False,UPTREND,6,19.27,19.93,12.94,-3.3,0.55,42.1,1.0,Consumer Defensive,Packaged Foods,11809371136,4.2,,2.2,56.7,15.2,3.25,7.8,5,1.4,3.6
461,MTG,https://www.tradingview.com/symbols/MTG/,True,False,UPTREND,6,30.48,31.71,24.55,-3.9,0.93,21.7,1.0,Financial Services,Insurance - Specialty,6252204544,-2.9,6.2,59.2,9.5,8.9,2.8,4.8,4,2.3,3.6
462,BWLP,https://www.tradingview.com/symbols/BWLP/,True,False,UPTREND,6,21.75,22.69,13.0,-4.1,0.7,70.8,1.4,Energy,Oil & Gas Midstream,3301967616,-2.7,260.0,10.1,9.1,,,2.5,4,1.8,3.6
463,DTE,https://www.tradingview.com/symbols/DTE/,True,False,UPTREND,6,139.87,155.75,131.94,-10.2,0.97,5.4,1.0,Utilities,Utilities - Regulated Electric,29105276928,-1.5,22.4,8.0,22.1,16.7,1.89,4.5,4,2.4,3.6
464,PKG,https://www.tradingview.com/symbols/PKG/,True,False,UPTREND,6,256.04,258.81,199.93,-1.1,0.74,19.2,1.0,Consumer Cyclical,Packaging & Containers,22812819456,14.7,-19.9,7.3,33.2,20.2,2.0,6.0,4,1.9,3.5
465,ASAN,https://www.tradingview.com/symbols/ASAN/,True,False,UPTREND,6,9.26,9.42,5.38,-1.7,0.73,24.6,1.0,Technology,Software - Application,2134520960,9.5,,-20.2,,19.7,2.67,6.4,4,1.8,3.5
466,WPP,https://www.tradingview.com/symbols/WPP/,True,False,UPTREND,6,27.55,27.78,14.41,-0.8,1.91,36.5,1.0,Communication Services,Advertising Agencies,5944201216,-4.4,-57.5,-1.8,,7.9,3.33,3.7,1,4.8,3.5
467,CLF,https://www.tradingview.com/symbols/CLF/,True,False,UPTREND,6,12.26,15.06,7.73,-18.6,0.78,34.3,1.0,Basic Materials,Steel,6994821120,5.9,,-4.6,,24.0,2.92,4.2,4,2.0,3.5
468,SUNB,https://www.tradingview.com/symbols/SUNB/,True,False,UPTREND,6,81.08,85.79,60.4,-5.5,0.46,28.0,1.0,Industrials,Rental & Leasing Services,33238548480,8.9,-27.8,11.9,25.7,17.2,2.21,2.2,4,1.2,3.4
469,BIO,https://www.tradingview.com/symbols/BIO/,True,False,UPTREND,6,352.47,353.33,236.73,-0.2,0.88,32.1,1.0,Healthcare,Medical Devices,9424404480,-0.1,18.7,8.6,42.9,35.1,3.0,,3,2.2,3.4
470,NOV,https://www.tradingview.com/symbols/NOV/,True,False,UPTREND,6,19.65,21.46,17.66,-8.4,0.68,6.1,1.0,Energy,Oil & Gas Equipment & Services,7004794880,-2.5,7.6,1.1,72.8,15.0,2.43,5.8,3,1.7,3.3
471,RNR,https://www.tradingview.com/symbols/RNR/,True,False,UPTREND,6,321.87,335.97,275.22,-4.2,0.63,14.6,1.0,Financial Services,Insurance - Reinsurance,13374307328,-13.2,-10.0,23.6,5.6,7.9,2.65,4.2,3,1.6,3.3
472,UNFI,https://www.tradingview.com/symbols/UNFI/,True,False,UPTREND,6,47.06,57.02,34.84,-17.5,0.83,55.6,1.1,Consumer Defensive,Food Distribution,2848030720,-4.2,,-0.1,,14.6,,3.8,2,2.1,3.2
