Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
361,MC,https://www.tradingview.com/symbols/MC/,True,True,STRONG UPTREND,8,66.63,72.86,50.55,-8.5,0.89,36.0,1.0,Financial Services,Capital Markets,4936009728,12.0,17.1,14.5,23.2,17.0,2.91,4.3,5,2.2,4.5
362,BC,https://www.tradingview.com/symbols/BC/,True,True,STRONG UPTREND,8,81.55,89.29,66.68,-8.7,0.83,11.1,1.0,Consumer Cyclical,Recreational Vehicles,5284230656,7.7,87.5,-1.5,,15.0,2.1,0.0,5,2.1,4.5
363,BANC,https://www.tradingview.com/symbols/BANC/,True,True,STRONG UPTREND,8,18.73,21.93,16.14,-14.6,1.0,28.1,1.0,Financial Services,Banks - Regional,2967440896,,,-3.2,,8.8,1.73,3.4,5,2.5,4.5
364,APH,https://www.tradingview.com/symbols/APH/,True,False,UPTREND,6,169.18,178.52,117.83,-5.2,0.71,38.3,1.0,Technology,Electronic Components,208596123648,55.0,59.3,17.7,42.4,26.2,1.47,2.0,9,1.8,4.5
365,PRU,https://www.tradingview.com/symbols/PRU/,True,True,STRONG UPTREND,8,121.28,127.72,90.65,-5.0,1.32,49.5,1.0,Financial Services,Insurance - Life,41841598464,-2.5,89.2,6.2,11.0,8.3,3.44,6.5,4,3.3,4.5
366,SOLV,https://www.tradingview.com/symbols/SOLV/,True,True,STRONG UPTREND,8,82.98,90.0,62.38,-7.8,0.95,37.8,1.0,Healthcare,Medical Instruments & Supplies,14125165568,2.2,3.9,17.3,10.1,11.5,2.2,3.3,5,2.4,4.5
367,VSTS,https://www.tradingview.com/symbols/VSTS/,True,True,STRONG UPTREND,8,14.21,16.9,7.03,-15.9,0.77,177.7,3.6,Industrials,Rental & Leasing Services,1877213184,-0.9,,-0.6,,21.3,,5.2,2,1.9,4.5
368,IX,https://www.tradingview.com/symbols/IX/,True,True,STRONG UPTREND,8,40.09,42.39,29.04,-5.4,0.72,57.6,1.2,Financial Services,Financial Conglomerates,43545595904,28.0,-25.7,13.4,11.2,,3.0,2.4,5,1.8,4.5
369,CARR,https://www.tradingview.com/symbols/CARR/,True,True,STRONG UPTREND,8,64.01,76.48,53.39,-16.3,0.83,32.2,1.0,Industrials,Building Products & Equipment,52765048832,3.9,-11.8,5.5,45.7,19.4,1.92,2.9,5,2.1,4.5
370,GNW,https://www.tradingview.com/symbols/GNW/,True,True,STRONG UPTREND,8,9.69,10.2,7.84,-5.0,0.92,33.7,1.0,Financial Services,Insurance - Life,3711359488,5.8,,2.9,18.6,8.8,,2.6,5,2.3,4.5
